BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE
18/02/2019 19:50:01,18/02/2019 20:01:52,18/02/2019,A TARDE,AVENIDA ELIANE MARIA BARBIERE SOARES,584,JARDIM MORUMBI,S.JOSE DOS CAMPOS,SP,-23,2491864508799
18/02/2019 22:17:30,18/02/2019 23:13:55,18/02/2019,PELA MANH�,ESTRADA JOEL DE PAULA,999,PARQUE TECNOL�GICO,S.JOSE DOS CAMPOS,SP,-23,1544023171424
18/02/2019 22:17:30,18/02/2019 23:13:55,18/02/2019,PELA MANH�,ESTRADA JOEL DE PAULA,999,PARQUE TECNOL�GICO,S.JOSE DOS CAMPOS,SP,-23,1544023171424
19/02/2019 10:03:08,19/02/2019 10:17:57,02/02/2019,A NOITE,AVENIDA PROFESSOR POSSIDONIO SALLES,158,JARDIM S�O VICENTE,S.JOSE DOS CAMPOS,SP,-23,1692555746825
19/02/2019 11:00:42,19/02/2019 11:20:24,19/02/2019,DE MADRUGADA,AVENIDA MARIA DE LOURDES MEDEIROS DE ASS,400,CONJUNTO HABITACIONAL DOM PEDRO II,S.JOSE DOS CAMPOS,SP,-23,2730062355862
19/02/2019 12:24:16,19/02/2019 12:40:21,18/02/2019,A TARDE,RUA ITABUNA,101,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2318066965161
19/02/2019 13:55:54,19/02/2019 14:47:53,07/02/2019,A NOITE,RUA SAIGIRO NAKAMURA,800,VILA INDUSTRIAL,S.JOSE DOS CAMPOS,SP,-23,1798427792544
19/02/2019 17:54:17,19/02/2019 18:09:14,18/02/2019,A NOITE,RUA BENEDITO IUNES,1,JARDIM AMALIA,CACAPAVA,SP,-23,96644215
19/02/2019 21:53:39,19/02/2019 22:42:35,19/02/2019,PELA MANH�,RODOVIA PRESIDENTE DUTRA (BR 116),120,AREA RURAL,CACAPAVA,SP,-23,703889263715
20/02/2019 03:38:41,20/02/2019 04:03:28,20/02/2019,DE MADRUGADA,PRA�A NOSSA SENHORA DE FATIMA,1,JARDIM NOVA AM�RICA,S.JOSE DOS CAMPOS,SP,-23,1934747409999
20/02/2019 03:38:41,20/02/2019 04:03:28,20/02/2019,DE MADRUGADA,PRA�A NOSSA SENHORA DE FATIMA,1,JARDIM NOVA AM�RICA,S.JOSE DOS CAMPOS,SP,-23,1934747409999
20/02/2019 03:38:41,20/02/2019 04:03:28,20/02/2019,DE MADRUGADA,PRA�A NOSSA SENHORA DE FATIMA,1,JARDIM NOVA AM�RICA,S.JOSE DOS CAMPOS,SP,-23,1934747409999
20/02/2019 03:38:41,20/02/2019 04:03:28,20/02/2019,DE MADRUGADA,PRA�A NOSSA SENHORA DE FATIMA,1,JARDIM NOVA AM�RICA,S.JOSE DOS CAMPOS,SP,-23,1934747409999
20/02/2019 06:35:59,20/02/2019 06:35:53,19/02/2019,A TARDE,AVENIDA DA SAUDADE,33,JARDIM CAMPO GRANDE,CACAPAVA,SP,-23,1008702
20/02/2019 12:15:01,20/02/2019 12:58:52,18/02/2019,A TARDE,RUA JANUARIA,60,CH�CARAS REUNIDAS,S.JOSE DOS CAMPOS,SP,-23,257137770796
20/02/2019 12:15:01,20/02/2019 12:58:52,18/02/2019,A TARDE,RUA JANUARIA,60,CH�CARAS REUNIDAS,S.JOSE DOS CAMPOS,SP,-23,257137770796
20/02/2019 12:15:01,20/02/2019 12:58:52,18/02/2019,A TARDE,RUA JANUARIA,60,CH�CARAS REUNIDAS,S.JOSE DOS CAMPOS,SP,-23,257137770796
20/02/2019 12:15:01,20/02/2019 12:58:52,18/02/2019,A TARDE,RUA JANUARIA,60,CH�CARAS REUNIDAS,S.JOSE DOS CAMPOS,SP,-23,257137770796
